H_A_per_m,B_T
0.000000000000000000e+00,0.000000000000000000e+00
6.010042852722108364e-06,1.138820485691027784e-07
1.803012855816632509e-05,3.416461458738417889e-07
3.606025711633265018e-05,6.832922915256389729e-07
6.010038487147539854e-05,1.138819658796919043e-06
9.015051182359457016e-05,1.708228247410126244e-06
1.262105943169444799e-04,2.391517230082573775e-06
1.682805886957794428e-04,3.188685779809130594e-06
2.163604949600994587e-04,4.099733896423263246e-06
2.704503131099045277e-04,5.124661580147016338e-06
3.305499994894489646e-04,6.263468003531169614e-06
3.966595104429870844e-04,7.516152339570592034e-06
4.687788459705188870e-04,8.882714588320794746e-06
5.469079624162986875e-04,1.036315392255460210e-05
6.310468597803264856e-04,1.195747034221650296e-05
7.211954944068565965e-04,1.366566302024585511e-05
8.173538662958890200e-04,1.548773195680919201e-05
9.195218881359323859e-04,1.742367549756318468e-05
1.027699603582732379e-03,1.947349446967949760e-05
1.141886925324797630e-03,2.163718721931440214e-05
1.262083853362128139e-03,2.391475374613483140e-05
1.388290344038978219e-03,2.630619322352423239e-05
1.520506353699602187e-03,2.881150482431094062e-05
1.658731882344000041e-03,3.143068854882802299e-05
1.802966886316426098e-03,3.416374357023688191e-05
1.953211321961134672e-03,3.701066906164340864e-05
2.109465189278125763e-03,3.997146502360271469e-05
2.271728400955908000e-03,4.304612980204902684e-05
2.440000956994481385e-03,4.623466339748194542e-05
2.614282813738100231e-03,4.953706498356247323e-05
2.794573927531018853e-03,5.295333373328547921e-05
2.980874298373237252e-03,5.648346964770567524e-05
3.173183838953264058e-03,6.012747107320137729e-05
3.371502549271099269e-03,6.388533801043871918e-05
3.575830385670997202e-03,6.775706963341177058e-05
3.786167304497212172e-03,7.174266511600357887e-05
4.002513262093998492e-03,7.584212363204168028e-05
4.224868214805610478e-03,8.005544435563116679e-05
4.453232118976302445e-03,8.438262646082161922e-05
4.687604974606074393e-03,8.882366994938939442e-05
4.927986694383434951e-03,9.337857316826791987e-05
5.174377234652638435e-03,9.804733529217291021e-05
5.426776595413684845e-03,1.028299563227141888e-04
5.685184689355082810e-03,1.077264346078798951e-04
5.949601472821086645e-03,1.127367693222747214e-04
6.220026945811696351e-03,1.178609604685076917e-04
6.496461021015420556e-03,1.230990063944559232e-04
6.778903654776513577e-03,1.284509062754457531e-04
7.067354847094975412e-03,1.339166601146968283e-04
7.361814510659314692e-03,1.394962662604748438e-04
7.662282601813785732e-03,1.451897238888832931e-04
7.968759076902642846e-03,1.509970321761366918e-04
8.281243848614394665e-03,1.569181894713334025e-04
8.599736916949041188e-03,1.629531957786922725e-04
8.924238238250836730e-03,1.691020502745388399e-04
9.254747725208289921e-03,1.753647513090816901e-04
9.591265334165655077e-03,1.817412980594790284e-04
9.933791021467186511e-03,1.882316897035551939e-04
1.028232474345713854e-02,1.948359254188569700e-04
1.063686645647976547e-02,2.015540043836527850e-04
1.099741607322357595e-02,2.083859249491504251e-04
1.136397355003282428e-02,2.153316862939513854e-04
1.173653884325176477e-02,2.223912875971012504e-04
