time_s,I_A
0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999999547e-07,4.579303082622780650e-07
1.999999999999999909e-06,1.373790925449449541e-06
3.000000000000000076e-06,2.747581850015411954e-06
3.999999999999999819e-06,4.579299757591064040e-06
4.999999999999999562e-06,6.868944647072045512e-06
6.000000000000000152e-06,9.616513191880535910e-06
6.999999999999999895e-06,1.282200206654307675e-05
7.999999999999999638e-06,1.648541127039705026e-05
9.000000000000000228e-06,2.060674080432594229e-05
9.999999999999999124e-06,2.518598734108932265e-05
1.099999999999999971e-05,3.022314755521373286e-05
1.200000000000000030e-05,3.571822144692003167e-05
1.299999999999999920e-05,4.167120568985128152e-05
1.399999999999999979e-05,4.808210028378661011e-05
1.499999999999999869e-05,5.495090190303168325e-05
1.599999999999999928e-05,6.227761054824909755e-05
1.699999999999999987e-05,7.006221956716674284e-05
1.800000000000000046e-05,7.830473228592066404e-05
1.899999999999999766e-05,8.700514205422656112e-05
1.999999999999999825e-05,9.616344887075920021e-05
2.099999999999999884e-05,1.057796494115912392e-04
2.199999999999999943e-05,1.158537403505865857e-04
2.300000000000000002e-05,1.263857216890704736e-04
2.400000000000000061e-05,1.373755901022320714e-04
2.499999999999999781e-05,1.488233422650396282e-04
2.599999999999999840e-05,1.607289781797018805e-04
2.699999999999999899e-05,1.730924911950510662e-04
2.799999999999999958e-05,1.859138813130749616e-04
2.900000000000000017e-05,1.991931452109506741e-04
2.999999999999999737e-05,2.129302795632046538e-04
3.100000000000000135e-05,2.271252843740334407e-04
3.199999999999999855e-05,2.417781529940363596e-04
3.299999999999999575e-05,2.568888854258637427e-04
3.399999999999999973e-05,2.724574783480178636e-04
3.499999999999999693e-05,2.884839284385591835e-04
3.600000000000000091e-05,3.049682323753273388e-04
3.699999999999999811e-05,3.219103868372662799e-04
3.799999999999999532e-05,3.393103885030992139e-04
3.899999999999999929e-05,3.571682373798940003e-04
3.999999999999999650e-05,3.754839268204584568e-04
4.100000000000000047e-05,3.942574535061661224e-04
4.199999999999999768e-05,4.134888174434225177e-04
4.299999999999999488e-05,4.331780119892318648e-04
4.399999999999999886e-05,4.533250338245259988e-04
4.499999999999999606e-05,4.739298829596861554e-04
4.600000000000000004e-05,4.949925527512746360e-04
4.699999999999999724e-05,5.165130398830950018e-04
4.800000000000000122e-05,5.384913443679576438e-04
4.899999999999999842e-05,5.609274595639713147e-04
4.999999999999999562e-05,5.838213821580314497e-04
5.099999999999999960e-05,6.071731088374752961e-04
5.199999999999999680e-05,6.309826329637246035e-04
5.300000000000000078e-05,6.552499545535654234e-04
5.399999999999999798e-05,6.799750702947771411e-04
5.499999999999999518e-05,7.051579735531986540e-04
5.599999999999999916e-05,7.307986610199220185e-04
