H_A_per_m,B_T
0.000000000000000000e+00,0.000000000000000000e+00
2.259146215112210498e+01,5.765593569017646303e-02
4.506045481965943367e+01,1.224123101019162219e-01
6.737544788907879934e+01,2.048290281085012321e-01
8.950525669473455537e+01,3.257932207285516024e-01
1.114190850832421091e+02,5.409360375989016312e-01
1.330865677461364953e+02,8.881954655949227950e-01
1.544778117703895646e+02,1.068779970119041689e+00
1.755634373497022693e+02,1.170002520353705444e+00
1.963146176019109816e+02,1.235322530549887166e+00
2.167031174393366086e+02,1.281240877246852428e+00
2.367013314404702555e+02,1.315422093413759264e+00
2.562823206730150787e+02,1.341924150479965938e+00
2.754198484200018129e+02,1.363103817773071658e+00
2.940884147624482239e+02,1.380427748941085220e+00
3.122632899738497940e+02,1.394858910467299040e+00
3.299205466836624510e+02,1.407057183825946023e+00
3.470370907688583202e+02,1.417490805567516610e+00
3.635906909346186353e+02,1.426501776985843684e+00
3.795600069472456539e+02,1.434346047555507209e+00
3.949246164844464602e+02,1.441219168227194869e+00
4.096650405702516764e+02,1.447273215234644361e+00
4.237627675639759559e+02,1.452628276143068886e+00
4.372002756748169077e+02,1.457380440500780416e+00
4.499610539758953678e+02,1.461607480862787245e+00
4.620296218937897379e+02,1.465372970021752153e+00
4.733915471518823210e+02,1.468729316144472996e+00
4.840334621481245563e+02,1.471720034342736572e+00
4.939430787501401028e+02,1.474381469808691891e+00
5.031092014929042193e+02,1.476744120600316901e+00
5.115217391665778450e+02,1.478833663775643403e+00
5.191717147844134388e+02,1.480671758624095391e+00
5.260512739230022135e+02,1.482276680177781802e+00
5.321536914294820235e+02,1.483663821833104635e+00
5.374733764926725144e+02,1.484846095742593741e+00
5.420058760774501252e+02,1.485834252323877891e+00
5.457478767240062325e+02,1.486637134898374235e+00
5.486972047159617887e+02,1.487261881523979312e+00
5.508528246236156747e+02,1.487714083117741781e+00
5.522148362308936385e+02,1.487997904693326490e+00
5.527844698568400190e+02,1.488116174763505661e+00
5.525640800847299943e+02,1.488088126958283963e+00
5.515571379141061925e+02,1.487959760061777770e+00
5.497682213532223159e+02,1.487730816110197196e+00
5.472030044715334043e+02,1.487400520526689585e+00
5.438682449339876257e+02,1.486967575111945994e+00
5.397717700409496047e+02,1.486430144471047043e+00
5.349224612996212045e+02,1.485785835599263249e+00
5.293302375548141754e+02,1.485031670187827446e+00
5.230060367088713065e+02,1.484164049033286581e+00
5.159617960624242414e+02,1.483178707733962209e+00
5.082104313095132397e+02,1.482070662625994739e+00
4.997658142223806408e+02,1.480834145639383204e+00
4.906427490629737349e+02,1.479462526428936497e+00
4.808569477598592812e+02,1.477948219740401248e+00
4.704250038908597276e+02,1.476282575488133242e+00
4.593643655132555068e+02,1.474455748421537482e+00
4.476933068848823041e+02,1.472456543509086391e+00
4.354308991208475845e+02,1.470272232226188303e+00
4.225969798319428037e+02,1.467888333736760087e+00
4.092121217920809499e+02,1.465288353427877777e+00
3.952976006832930125e+02,1.462453469283633289e+00
3.808753619679361009e+02,1.459362154019777869e+00
3.659679869388039037e+02,1.455989717539834638e+00
3.505986579988131098e+02,1.452307749830286543e+00
3.347911232228149174e+02,1.448283438484512020e+00
3.185696602549071486e+02,1.443878727058732103e+00
3.019590395953479742e+02,1.439049269591188951e+00
2.849844873318278360e+02,1.433743121650445262e+00
2.676716473704329928e+02,1.427899087431993230e+00
2.500465432221186290e+02,1.421444613008217006e+00
2.321355394009273709e+02,1.414293073754992580e+00
2.139653024905133520e+02,1.406340242861896073e+00
1.955627619357773597e+02,1.397459637608888805e+00
1.769550706165899499e+02,1.387496304495783539e+00
1.581695652606526892e+02,1.376258396488245994e+00
1.392337267525583400e+02,1.363505570160217228e+00
1.201751403960250428e+02,1.348932708380940149e+00
1.010214561861172911e+02,1.332146613905637045e+00
8.180034914803387380e+01,1.312631858571989829e+00
6.253947979871066565e+01,1.289699407117830710e+00
4.326645478709246362e+01,1.262406949797788780e+00
2.400878776845552309e+01,1.229430932659666853e+00
4.793860567592712840e+00,1.188852279569437398e+00
-1.435111531494281678e+01,1.137779295664408385e+00
-3.339913680004994490e+01,1.071642488375938562e+00
-5.232344687804700811e+01,9.827718199430495183e-01
-7.109757175553380648e+01,8.572305462729289394e-01
-8.969535745021676121e+01,6.667735722372309937e-01
-1.080910057837547100e+02,3.441474167389111383e-01
-1.262591097237363584e+02,-2.394371461199124862e-01
-1.441746880270300153e+02,-6.256930077476224872e-01
-1.618132191379221183e+02,-8.407234316756398984e-01
-1.791506742957234906e+02,-9.775326427013130148e-01
-1.961635498078189528e+02,-1.072088917773476924e+00
-2.128288984454999877e+02,-1.141234348683212163e+00
-2.291243599213535731e+02,-1.193905686757133378e+00
-2.450281904084384053e+02,-1.235285143731114754e+00
-2.605192910630161691e+02,-1.268584393972682411e+00
-2.755772355141665457e+02,-1.295899613809747830e+00
-2.901822962852486967e+02,-1.318656838538300180e+00
-3.043154701138196856e+02,-1.337859709792825313e+00
-3.179585021383298340e+02,-1.354234862269600992e+00
-3.310939089216584534e+02,-1.368321109503558120e+00
-3.437050002833281042e+02,-1.380526238475790590e+00
-3.557758999140404512e+02,-1.391164352327314058e+00
-3.672915647480314192e+02,-1.400481111847305726e+00
-3.782378030705964420e+02,-1.408671214159245011e+00
-3.886012913400372781e+02,-1.415890755765165210e+00
-3.983695897051958923e+02,-1.422266143059182752e+00
-4.075311562016760831e+02,-1.427900622581883994e+00
-4.160753596117987740e+02,-1.432879138491575333e+00
-4.239924909753079305e+02,-1.437271993795545821e+00
-4.312737737398126683e+02,-1.441137642361565385e+00
-4.379113725419410343e+02,-1.444524839917513903e+00
-4.438984006121540347e+02,-1.447474315714501802e+00
